,age_language,movie_name,book_ticket
0,"UA13+Tamil, English","77%Jurassic World RebirthUA13+Tamil, English",Book Ticket
1,UA16+Hindi,New ReleaseSaiyaaraUA16+Hindi,Book Ticket
2,UTamil,86%3BHKUTamil,Book Ticket
3,"UA16+English, Tamil","F1 The MovieUA16+English, Tamil",Book Ticket
4,UATamil,Baashha (1995)UATamil,Book Ticket
5,UA16+Tamil,New ReleaseBun Butter JamUA16+Tamil,Book Ticket
6,UA16+Tamil,New ReleaseJenma NatchathiramUA16+Tamil,Book Ticket
7,UA16+Tamil,New ReleaseTrendingUA16+Tamil,Book Ticket
8,UA16+Tamil,New ReleaseGeviUA16+Tamil,Book Ticket
9,UTamil,78%Paranthu PoUTamil,Book Ticket
